primary_key,date,Position,Track Name,Artist,Streams,URL,ID,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,uri,valence
6v3KW9xbzN5yKLt9YKDYA2_2019-09-08,2019-09-08,1,Señorita,Shawn Mendes,5473167,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,6v3KW9xbzN5yKLt9YKDYA2,0.0392,https://api.spotify.com/v1/audio-analysis/6v3KW9xbzN5yKLt9YKDYA2,0.759,190800,0.548,0.0,9,0.0828,-6.049,0,0.029,116.967,4,https://api.spotify.com/v1/tracks/6v3KW9xbzN5yKLt9YKDYA2,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,0.749
51MMC5DogGZAnHil5HQAXg_2019-09-08,2019-09-08,2,Circles,Post Malone,5241017,https://open.spotify.com/track/51MMC5DogGZAnHil5HQAXg,51MMC5DogGZAnHil5HQAXg,0.207,https://api.spotify.com/v1/audio-analysis/51MMC5DogGZAnHil5HQAXg,0.701,215280,0.754,0.000691,0,0.0829,-3.463,1,0.0396,120.01,4,https://api.spotify.com/v1/tracks/51MMC5DogGZAnHil5HQAXg,spotify:track:51MMC5DogGZAnHil5HQAXg,0.552
6vBdBCoOhKHiYDDOcorfNo_2019-09-08,2019-09-08,3,Goodbyes (Feat. Young Thug),Post Malone,4109747,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,6vBdBCoOhKHiYDDOcorfNo,0.447,https://api.spotify.com/v1/audio-analysis/6vBdBCoOhKHiYDDOcorfNo,0.58,174960,0.653,0.0,5,0.111,-3.818,1,0.0745,150.231,4,https://api.spotify.com/v1/tracks/6vBdBCoOhKHiYDDOcorfNo,spotify:track:6vBdBCoOhKHiYDDOcorfNo,0.175
7C39RtGhnEw7cyf0Pyw7PV_2019-09-08,2019-09-08,4,Saint-Tropez,Post Malone,3580715,https://open.spotify.com/track/7C39RtGhnEw7cyf0Pyw7PV,7C39RtGhnEw7cyf0Pyw7PV,0.0538,https://api.spotify.com/v1/audio-analysis/7C39RtGhnEw7cyf0Pyw7PV,0.633,150867,0.645,0.0,0,0.104,-3.581,1,0.0442,132.018,4,https://api.spotify.com/v1/tracks/7C39RtGhnEw7cyf0Pyw7PV,spotify:track:7C39RtGhnEw7cyf0Pyw7PV,0.287
77Y7tccX9Hx5iClDr39uy9_2019-09-08,2019-09-08,5,Hollywood's Bleeding,Post Malone,3407607,https://open.spotify.com/track/77Y7tccX9Hx5iClDr39uy9,77Y7tccX9Hx5iClDr39uy9,0.309,https://api.spotify.com/v1/audio-analysis/77Y7tccX9Hx5iClDr39uy9,0.354,156267,0.633,0.0,4,0.104,-3.188,0,0.0645,160.082,4,https://api.spotify.com/v1/tracks/77Y7tccX9Hx5iClDr39uy9,spotify:track:77Y7tccX9Hx5iClDr39uy9,0.19
2ksOAxtIxY8yElEWw8RhgK_2019-09-08,2019-09-08,6,China,Anuel AA,3350587,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,2ksOAxtIxY8yElEWw8RhgK,0.0846,https://api.spotify.com/v1/audio-analysis/2ksOAxtIxY8yElEWw8RhgK,0.786,301714,0.808,0.000289,7,0.0822,-3.702,1,0.0882,105.027,4,https://api.spotify.com/v1/tracks/2ksOAxtIxY8yElEWw8RhgK,spotify:track:2ksOAxtIxY8yElEWw8RhgK,0.609
4Yq3XUNfWrAPWuB94qkC09_2019-09-08,2019-09-08,7,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,3331402,https://open.spotify.com/track/4Yq3XUNfWrAPWuB94qkC09,4Yq3XUNfWrAPWuB94qkC09,0.118,https://api.spotify.com/v1/audio-analysis/4Yq3XUNfWrAPWuB94qkC09,0.495,229573,0.822,0.0,1,0.151,-2.611,0,0.047,140.001,4,https://api.spotify.com/v1/tracks/4Yq3XUNfWrAPWuB94qkC09,spotify:track:4Yq3XUNfWrAPWuB94qkC09,0.254
4VqTRBvYg0z8C4nsl4Hupy_2019-09-08,2019-09-08,8,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,3113132,https://open.spotify.com/track/4VqTRBvYg0z8C4nsl4Hupy,4VqTRBvYg0z8C4nsl4Hupy,0.565,https://api.spotify.com/v1/audio-analysis/4VqTRBvYg0z8C4nsl4Hupy,0.741,157560,0.529,0.0,2,0.0689,-4.45,1,0.0563,90.0,4,https://api.spotify.com/v1/tracks/4VqTRBvYg0z8C4nsl4Hupy,spotify:track:4VqTRBvYg0z8C4nsl4Hupy,0.924
6EOKwHETwSkZ9gW2b6ASE0_2019-09-08,2019-09-08,9,Ransom,Lil Tecca,3099776,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0,6EOKwHETwSkZ9gW2b6ASE0,0.0204,https://api.spotify.com/v1/audio-analysis/6EOKwHETwSkZ9gW2b6ASE0,0.745,131240,0.642,0.0,7,0.0658,-6.257,0,0.287,179.974,4,https://api.spotify.com/v1/tracks/6EOKwHETwSkZ9gW2b6ASE0,spotify:track:6EOKwHETwSkZ9gW2b6ASE0,0.226
6UFEJuDXQMWhL5UH5f9fUR_2019-09-08,2019-09-08,10,Enemies (feat. DaBaby),Post Malone,3097823,https://open.spotify.com/track/6UFEJuDXQMWhL5UH5f9fUR,6UFEJuDXQMWhL5UH5f9fUR,0.0832,https://api.spotify.com/v1/audio-analysis/6UFEJuDXQMWhL5UH5f9fUR,0.682,196760,0.667,0.0,6,0.0984,-4.194,1,0.139,150.205,4,https://api.spotify.com/v1/tracks/6UFEJuDXQMWhL5UH5f9fUR,spotify:track:6UFEJuDXQMWhL5UH5f9fUR,0.696
