primary_key,date,Position,Track Name,Artist,Streams,URL,ID,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,uri,valence
4S8d14HvHb70ImctNgVzQQ_2018-09-19,2018-09-19,1,I Love It (& Lil Pump),Kanye West,5029892,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,4S8d14HvHb70ImctNgVzQQ,0.0114,https://api.spotify.com/v1/audio-analysis/4S8d14HvHb70ImctNgVzQQ,0.901,127947.0,0.522,0.0,2.0,0.259,-8.304,1.0,0.33,104.053,4.0,https://api.spotify.com/v1/tracks/4S8d14HvHb70ImctNgVzQQ,spotify:track:4S8d14HvHb70ImctNgVzQQ,0.329
60SdxE8apGAxMiRrpbmLY0_2018-09-19,2018-09-19,2,Lucky You (feat. Joyner Lucas),Eminem,3631864,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,60SdxE8apGAxMiRrpbmLY0,0.0627,https://api.spotify.com/v1/audio-analysis/60SdxE8apGAxMiRrpbmLY0,0.876,244679.0,0.786,0.0,10.0,0.127,-4.884,0.0,0.306,153.068,4.0,https://api.spotify.com/v1/tracks/60SdxE8apGAxMiRrpbmLY0,spotify:track:60SdxE8apGAxMiRrpbmLY0,0.575
2G7V7zsVDxg1yRsu7Ew9RJ_2018-09-19,2018-09-19,3,In My Feelings,Drake,3359025,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2G7V7zsVDxg1yRsu7Ew9RJ,0.0589,https://api.spotify.com/v1/audio-analysis/2G7V7zsVDxg1yRsu7Ew9RJ,0.835,217925.0,0.626,6e-05,1.0,0.396,-5.833,1.0,0.125,91.03,4.0,https://api.spotify.com/v1/tracks/2G7V7zsVDxg1yRsu7Ew9RJ,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,0.35
0d2iYfpKoM0QCKvcLCkBao_2018-09-19,2018-09-19,4,Eastside (with Halsey & Khalid),benny blanco,3353648,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,0d2iYfpKoM0QCKvcLCkBao,0.555,https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao,0.56,173800.0,0.68,0.0,6.0,0.116,-7.648,0.0,0.321,89.391,4.0,https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao,spotify:track:0d2iYfpKoM0QCKvcLCkBao,0.319
2dpaYNEQHiRxtZbfNsse99_2018-09-19,2018-09-19,5,Happier,Marshmello,3202248,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2dpaYNEQHiRxtZbfNsse99,0.191,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,0.687,214290.0,0.792,0.0,5.0,0.167,-2.749,1.0,0.0452,100.015,4.0,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,spotify:track:2dpaYNEQHiRxtZbfNsse99,0.671
5N5k9nd479b1xpDZ4usjrg_2018-09-19,2018-09-19,6,Promises (with Sam Smith),Calvin Harris,3174206,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,5N5k9nd479b1xpDZ4usjrg,0.0119,https://api.spotify.com/v1/audio-analysis/5N5k9nd479b1xpDZ4usjrg,0.781,213309.0,0.768,4.91e-06,11.0,0.325,-5.991,1.0,0.0394,123.07,4.0,https://api.spotify.com/v1/tracks/5N5k9nd479b1xpDZ4usjrg,spotify:track:5N5k9nd479b1xpDZ4usjrg,0.486
0E9ZjEAyAwOXZ7wJC0PD33_2018-09-19,2018-09-19,7,In My Mind,Dynoro,3119912,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,0E9ZjEAyAwOXZ7wJC0PD33,0.176,https://api.spotify.com/v1/audio-analysis/0E9ZjEAyAwOXZ7wJC0PD33,0.694,184560.0,0.77,1.1e-05,6.0,0.118,-5.335,1.0,0.149,125.905,4.0,https://api.spotify.com/v1/tracks/0E9ZjEAyAwOXZ7wJC0PD33,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,0.163
2xLMifQCjDGFmkHkpNLD9h_2018-09-19,2018-09-19,8,SICKO MODE,Travis Scott,2816902,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h,0.00513,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,0.834,312820.0,0.73,0.0,8.0,0.124,-3.714,1.0,0.222,155.008,4.0,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,spotify:track:2xLMifQCjDGFmkHkpNLD9h,0.446
7fa9MBXhVfQ8P8Df9OEbD8_2018-09-19,2018-09-19,9,Girls Like You (feat. Cardi B),Maroon 5,2765864,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,7fa9MBXhVfQ8P8Df9OEbD8,0.568,https://api.spotify.com/v1/audio-analysis/7fa9MBXhVfQ8P8Df9OEbD8,0.851,235545.0,0.541,0.0,0.0,0.13,-6.825,1.0,0.0505,124.959,4.0,https://api.spotify.com/v1/tracks/7fa9MBXhVfQ8P8Df9OEbD8,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,0.448
0s3nnoMeVWz3989MkNQiRf_2018-09-19,2018-09-19,10,Lucid Dreams,Juice WRLD,2716255,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf,0s3nnoMeVWz3989MkNQiRf,0.349,https://api.spotify.com/v1/audio-analysis/0s3nnoMeVWz3989MkNQiRf,0.511,239836.0,0.566,0.0,6.0,0.34,-7.23,0.0,0.2,83.903,4.0,https://api.spotify.com/v1/tracks/0s3nnoMeVWz3989MkNQiRf,spotify:track:0s3nnoMeVWz3989MkNQiRf,0.218
