primary_key,date,Position,Track Name,Artist,Streams,URL,ID,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,uri,valence
4w8niZpiMy6qz1mntFA5uM_2018-10-02,2018-10-02,1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,4345445,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,4w8niZpiMy6qz1mntFA5uM,0.153,https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,0.841,212500.0,0.798,3.33e-06,1.0,0.0618,-4.206,0.0,0.229,95.948,4.0,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM,spotify:track:4w8niZpiMy6qz1mntFA5uM,0.591
4S8d14HvHb70ImctNgVzQQ_2018-10-02,2018-10-02,2,I Love It (& Lil Pump),Kanye West,4066184,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,4S8d14HvHb70ImctNgVzQQ,0.0114,https://api.spotify.com/v1/audio-analysis/4S8d14HvHb70ImctNgVzQQ,0.901,127947.0,0.522,0.0,2.0,0.259,-8.304,1.0,0.33,104.053,4.0,https://api.spotify.com/v1/tracks/4S8d14HvHb70ImctNgVzQQ,spotify:track:4S8d14HvHb70ImctNgVzQQ,0.329
2dpaYNEQHiRxtZbfNsse99_2018-10-02,2018-10-02,3,Happier,Marshmello,3939751,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2dpaYNEQHiRxtZbfNsse99,0.191,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,0.687,214290.0,0.792,0.0,5.0,0.167,-2.749,1.0,0.0452,100.015,4.0,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,spotify:track:2dpaYNEQHiRxtZbfNsse99,0.671
0Dn40gxVCMo5TkgS8Ik18Q_2018-10-02,2018-10-02,4,Falling Down - Bonus Track,Lil Peep,3531142,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q,0Dn40gxVCMo5TkgS8Ik18Q,0.0175,https://api.spotify.com/v1/audio-analysis/0Dn40gxVCMo5TkgS8Ik18Q,0.669,196400.0,0.574,0.00294,4.0,0.146,-6.442,0.0,0.0286,120.013,4.0,https://api.spotify.com/v1/tracks/0Dn40gxVCMo5TkgS8Ik18Q,spotify:track:0Dn40gxVCMo5TkgS8Ik18Q,0.273
0dbTQYW3Ad1FTzIA9t90E8_2018-10-02,2018-10-02,5,Mona Lisa (feat. Kendrick Lamar),Lil Wayne,3278623,https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8,0dbTQYW3Ad1FTzIA9t90E8,0.371,https://api.spotify.com/v1/audio-analysis/0dbTQYW3Ad1FTzIA9t90E8,0.855,324189.0,0.694,0.0,2.0,0.109,-4.393,1.0,0.169,122.078,4.0,https://api.spotify.com/v1/tracks/0dbTQYW3Ad1FTzIA9t90E8,spotify:track:0dbTQYW3Ad1FTzIA9t90E8,0.49
0d2iYfpKoM0QCKvcLCkBao_2018-10-02,2018-10-02,6,Eastside (with Halsey & Khalid),benny blanco,3017808,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,0d2iYfpKoM0QCKvcLCkBao,0.555,https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao,0.56,173800.0,0.68,0.0,6.0,0.116,-7.648,0.0,0.321,89.391,4.0,https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao,spotify:track:0d2iYfpKoM0QCKvcLCkBao,0.319
5N5k9nd479b1xpDZ4usjrg_2018-10-02,2018-10-02,7,Promises (with Sam Smith),Calvin Harris,3002492,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,5N5k9nd479b1xpDZ4usjrg,0.0119,https://api.spotify.com/v1/audio-analysis/5N5k9nd479b1xpDZ4usjrg,0.781,213309.0,0.768,4.91e-06,11.0,0.325,-5.991,1.0,0.0394,123.07,4.0,https://api.spotify.com/v1/tracks/5N5k9nd479b1xpDZ4usjrg,spotify:track:5N5k9nd479b1xpDZ4usjrg,0.486
0E9ZjEAyAwOXZ7wJC0PD33_2018-10-02,2018-10-02,8,In My Mind,Dynoro,2838533,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,0E9ZjEAyAwOXZ7wJC0PD33,0.176,https://api.spotify.com/v1/audio-analysis/0E9ZjEAyAwOXZ7wJC0PD33,0.694,184560.0,0.77,1.1e-05,6.0,0.118,-5.335,1.0,0.149,125.905,4.0,https://api.spotify.com/v1/tracks/0E9ZjEAyAwOXZ7wJC0PD33,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,0.163
2G7V7zsVDxg1yRsu7Ew9RJ_2018-10-02,2018-10-02,9,In My Feelings,Drake,2645287,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2G7V7zsVDxg1yRsu7Ew9RJ,0.0589,https://api.spotify.com/v1/audio-analysis/2G7V7zsVDxg1yRsu7Ew9RJ,0.835,217925.0,0.626,6e-05,1.0,0.396,-5.833,1.0,0.125,91.03,4.0,https://api.spotify.com/v1/tracks/2G7V7zsVDxg1yRsu7Ew9RJ,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ,0.35
2xLMifQCjDGFmkHkpNLD9h_2018-10-02,2018-10-02,10,SICKO MODE,Travis Scott,2614388,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h,0.00513,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,0.834,312820.0,0.73,0.0,8.0,0.124,-3.714,1.0,0.222,155.008,4.0,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,spotify:track:2xLMifQCjDGFmkHkpNLD9h,0.446
