primary_key,date,Position,Track Name,Artist,Streams,URL,ID,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,uri,valence
4w8niZpiMy6qz1mntFA5uM_2018-10-18,2018-10-18,1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,5612591,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,4w8niZpiMy6qz1mntFA5uM,0.153,https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,0.841,212500.0,0.798,3.33e-06,1.0,0.0618,-4.206,0.0,0.229,95.948,4.0,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM,spotify:track:4w8niZpiMy6qz1mntFA5uM,0.591
116H0KvKr2Zl4RPuVBruDO_2018-10-18,2018-10-18,2,MIA (feat. Drake),Bad Bunny,5262774,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,116H0KvKr2Zl4RPuVBruDO,0.0141,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,0.817,210368.0,0.539,0.000496,6.0,0.099,-6.349,0.0,0.0621,97.062,4.0,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,spotify:track:116H0KvKr2Zl4RPuVBruDO,0.158
7l3E7lcozEodtVsSTCkcaA_2018-10-18,2018-10-18,3,ZEZE (feat. Travis Scott & Offset),Kodak Black,4272567,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA,7l3E7lcozEodtVsSTCkcaA,0.0515,https://api.spotify.com/v1/audio-analysis/7l3E7lcozEodtVsSTCkcaA,0.861,228654.0,0.637,3.35e-06,8.0,0.0967,-5.692,0.0,0.24,98.044,4.0,https://api.spotify.com/v1/tracks/7l3E7lcozEodtVsSTCkcaA,spotify:track:7l3E7lcozEodtVsSTCkcaA,0.474
2dpaYNEQHiRxtZbfNsse99_2018-10-18,2018-10-18,4,Happier,Marshmello,3873023,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2dpaYNEQHiRxtZbfNsse99,0.191,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,0.687,214290.0,0.792,0.0,5.0,0.167,-2.749,1.0,0.0452,100.015,4.0,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,spotify:track:2dpaYNEQHiRxtZbfNsse99,0.671
2VxeLyX666F8uXCJ0dZF8B_2018-10-18,2018-10-18,5,Shallow,Lady Gaga,3415666,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2VxeLyX666F8uXCJ0dZF8B,0.371,https://api.spotify.com/v1/audio-analysis/2VxeLyX666F8uXCJ0dZF8B,0.572,215733.0,0.385,0.0,7.0,0.231,-6.362,1.0,0.0308,95.799,4.0,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,spotify:track:2VxeLyX666F8uXCJ0dZF8B,0.323
5N5k9nd479b1xpDZ4usjrg_2018-10-18,2018-10-18,6,Promises (with Sam Smith),Calvin Harris,2821966,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,5N5k9nd479b1xpDZ4usjrg,0.0119,https://api.spotify.com/v1/audio-analysis/5N5k9nd479b1xpDZ4usjrg,0.781,213309.0,0.768,4.91e-06,11.0,0.325,-5.991,1.0,0.0394,123.07,4.0,https://api.spotify.com/v1/tracks/5N5k9nd479b1xpDZ4usjrg,spotify:track:5N5k9nd479b1xpDZ4usjrg,0.486
0d2iYfpKoM0QCKvcLCkBao_2018-10-18,2018-10-18,7,Eastside (with Halsey & Khalid),benny blanco,2780084,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,0d2iYfpKoM0QCKvcLCkBao,0.555,https://api.spotify.com/v1/audio-analysis/0d2iYfpKoM0QCKvcLCkBao,0.56,173800.0,0.68,0.0,6.0,0.116,-7.648,0.0,0.321,89.391,4.0,https://api.spotify.com/v1/tracks/0d2iYfpKoM0QCKvcLCkBao,spotify:track:0d2iYfpKoM0QCKvcLCkBao,0.319
5p7ujcrUXASCNwRaWNHR1C_2018-10-18,2018-10-18,8,Without Me,Halsey,2758105,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,5p7ujcrUXASCNwRaWNHR1C,0.297,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,0.752,201661.0,0.488,9.11e-06,6.0,0.0936,-7.05,1.0,0.0705,136.041,4.0,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,spotify:track:5p7ujcrUXASCNwRaWNHR1C,0.533
4S8d14HvHb70ImctNgVzQQ_2018-10-18,2018-10-18,9,I Love It (& Lil Pump),Kanye West,2729543,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,4S8d14HvHb70ImctNgVzQQ,0.0114,https://api.spotify.com/v1/audio-analysis/4S8d14HvHb70ImctNgVzQQ,0.901,127947.0,0.522,0.0,2.0,0.259,-8.304,1.0,0.33,104.053,4.0,https://api.spotify.com/v1/tracks/4S8d14HvHb70ImctNgVzQQ,spotify:track:4S8d14HvHb70ImctNgVzQQ,0.329
0Dn40gxVCMo5TkgS8Ik18Q_2018-10-18,2018-10-18,10,Falling Down - Bonus Track,Lil Peep,2721275,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q,0Dn40gxVCMo5TkgS8Ik18Q,0.0175,https://api.spotify.com/v1/audio-analysis/0Dn40gxVCMo5TkgS8Ik18Q,0.669,196400.0,0.574,0.00294,4.0,0.146,-6.442,0.0,0.0286,120.013,4.0,https://api.spotify.com/v1/tracks/0Dn40gxVCMo5TkgS8Ik18Q,spotify:track:0Dn40gxVCMo5TkgS8Ik18Q,0.273
0E9ZjEAyAwOXZ7wJC0PD33_2018-10-18,2018-10-18,11,In My Mind,Dynoro,2546619,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,0E9ZjEAyAwOXZ7wJC0PD33,0.176,https://api.spotify.com/v1/audio-analysis/0E9ZjEAyAwOXZ7wJC0PD33,0.694,184560.0,0.77,1.1e-05,6.0,0.118,-5.335,1.0,0.149,125.905,4.0,https://api.spotify.com/v1/tracks/0E9ZjEAyAwOXZ7wJC0PD33,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,0.163
7fa9MBXhVfQ8P8Df9OEbD8_2018-10-18,2018-10-18,12,Girls Like You (feat. Cardi B),Maroon 5,2492480,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,7fa9MBXhVfQ8P8Df9OEbD8,0.568,https://api.spotify.com/v1/audio-analysis/7fa9MBXhVfQ8P8Df9OEbD8,0.851,235545.0,0.541,0.0,0.0,0.13,-6.825,1.0,0.0505,124.959,4.0,https://api.spotify.com/v1/tracks/7fa9MBXhVfQ8P8Df9OEbD8,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,0.448
4T3fNx3CgwDRRYgmFCbD4J_2018-10-18,2018-10-18,13,Better,Khalid,2475929,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J,4T3fNx3CgwDRRYgmFCbD4J,0.0984,https://api.spotify.com/v1/audio-analysis/4T3fNx3CgwDRRYgmFCbD4J,0.442,229413.0,0.585,0.391,0.0,0.14,-10.332,0.0,0.0964,97.565,4.0,https://api.spotify.com/v1/tracks/4T3fNx3CgwDRRYgmFCbD4J,spotify:track:4T3fNx3CgwDRRYgmFCbD4J,0.116
2xLMifQCjDGFmkHkpNLD9h_2018-10-18,2018-10-18,14,SICKO MODE,Travis Scott,2391902,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h,0.00513,https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h,0.834,312820.0,0.73,0.0,8.0,0.124,-3.714,1.0,0.222,155.008,4.0,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h,spotify:track:2xLMifQCjDGFmkHkpNLD9h,0.446
